City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,praia da vitoria,38.7333,-27.0667,24.14,94,20,3.33,PT,1690507058
1,otis orchards-east farms,47.7099,-117.0798,30.53,25,0,0.0,US,1690507058
2,port-aux-francais,-49.35,70.2167,4.84,89,100,9.2,TF,1690507054
3,half moon,34.826,-77.4594,28.99,84,40,3.6,US,1690507058
4,kodiak,57.79,-152.4072,12.73,88,100,4.63,US,1690507058
5,ushuaia,-54.8,-68.3,-0.19,55,0,2.57,AR,1690507058
6,onguday,50.75,86.15,16.01,97,100,1.95,RU,1690507058
7,yatou,37.15,122.3833,28.12,76,15,5.62,CN,1690507059
8,kencong,-8.2833,113.3667,24.34,70,11,0.71,ID,1690507059
9,edinburgh of the seven seas,-37.0676,-12.3116,9.89,49,15,1.57,SH,1690507059
10,tamanrasset,22.785,5.5228,25.95,11,0,2.06,DZ,1690507059
11,yellowknife,62.456,-114.3525,24.29,29,75,3.58,CA,1690507059
12,keflavik,64.0049,-22.5624,10.95,81,0,4.12,IS,1690507059
13,waitangi,-43.9535,-176.5597,9.9,88,100,3.13,NZ,1690507059
14,adamstown,-25.066,-130.1015,19.62,60,10,1.25,PN,1690507060
15,sisimiut,66.9395,-53.6735,6.62,86,36,3.01,GL,1690507060
16,oroqen zizhiqi,50.5667,123.7167,25.06,57,40,1.64,CN,1690507060
17,grytviken,-54.2811,-36.5092,-3.11,82,100,4.87,GS,1690507060
18,puerto baquerizo moreno,-0.9,-89.6,24.01,78,28,5.16,EC,1690507060
19,fale old settlement,-9.3852,-171.2468,27.83,78,16,7.16,TK,1690507060
20,port elizabeth,-33.918,25.5701,12.16,87,0,1.54,ZA,1690507002
21,nizhneudinsk,54.9076,99.0276,18.75,74,100,1.48,RU,1690507061
22,geraldton,-28.7667,114.6,13.23,94,75,2.06,AU,1690506893
23,buala,-8.145,159.5921,28.0,81,99,3.0,SB,1690507061
24,dalandzadgad,43.5708,104.425,28.3,23,3,6.86,MN,1690507061
25,olonkinbyen,70.9221,-8.7187,4.88,89,100,5.62,SJ,1690507061
26,carnarvon,-24.8667,113.6333,15.63,61,0,5.51,AU,1690507061
27,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,2.0,RU,1690507061
28,wailua homesteads,22.0669,-159.378,30.24,74,40,7.2,US,1690507062
29,alzamay,55.5562,98.6644,18.15,74,100,0.79,RU,1690507062
30,ghat,24.9647,10.1728,30.96,11,42,0.91,LY,1690507062
31,hermanus,-34.4187,19.2345,11.9,78,0,1.8,ZA,1690506816
32,jamestown,42.097,-79.2353,22.77,89,40,3.6,US,1690507062
33,chake chake,-5.2459,39.7666,22.83,81,14,3.61,TZ,1690507062
34,ostrov,57.3439,28.3537,14.85,85,100,2.06,RU,1690507062
35,sambava,-14.2667,50.1667,19.25,85,1,4.78,MG,1690506840
36,badger,64.8,-147.5333,27.95,45,20,4.63,US,1690507063
37,al muwayh,22.4333,41.7583,29.51,19,5,4.24,SA,1690507063
38,ribeira grande,38.5167,-28.7,23.21,96,27,1.79,PT,1690507063
39,tacuarembo,-31.7333,-55.9833,8.81,76,100,2.04,UY,1690507063
40,saint-georges,12.0564,-61.7485,27.19,85,100,6.37,GD,1690507063
41,kapit,2.0167,112.9333,28.32,68,72,0.53,MY,1690507063
42,pecos,31.4229,-103.4932,36.46,16,0,7.2,US,1690506900
43,puerto natales,-51.7236,-72.4875,-3.42,87,100,1.54,CL,1690507064
44,manacapuru,-3.2997,-60.6206,29.41,52,100,1.08,BR,1690507064
45,nogliki,51.8333,143.1667,15.05,83,100,2.24,RU,1690507064
46,chinchilla,-26.75,150.6333,19.52,38,5,1.85,AU,1690507064
47,kailua-kona,19.6406,-155.9956,29.98,73,40,3.6,US,1690507064
48,aasiaat,68.7098,-52.8699,1.57,92,43,2.15,GL,1690507064
49,pokaran,26.9167,71.9167,28.29,78,100,5.93,IN,1690507064
50,albany,42.6001,-73.9662,24.89,90,42,0.45,US,1690507065
51,tolanaro,-25.0319,46.9987,17.53,85,11,4.49,MG,1690507065
52,bel ombre,-4.6167,55.4167,25.91,78,40,6.69,SC,1690507065
53,iskateley,67.6803,53.1512,13.83,88,100,3.34,RU,1690507065
54,ilulissat,69.2167,-51.1,4.01,93,20,1.03,GL,1690507065
55,fuqing,25.725,119.3794,27.87,96,100,0.55,CN,1690507065
56,stanley,54.868,-1.6985,15.5,89,75,2.06,GB,1690507065
57,tazacorte,28.629,-17.9293,22.54,80,40,4.63,ES,1690506805
58,san fernando de apure,7.8878,-67.4724,24.42,94,41,1.38,VE,1690507066
59,blackmans bay,-43.0167,147.3167,14.85,59,0,3.75,AU,1690507066
60,ust-nera,64.5667,143.2,13.95,49,82,1.46,RU,1690507066
61,constantia,44.1833,28.65,15.39,71,0,6.74,RO,1690507066
62,cascais,38.6979,-9.4215,19.47,78,0,8.94,PT,1690507066
63,fort st. john,56.2499,-120.8529,20.94,46,75,3.6,CA,1690506861
64,sao joao da barra,-21.6403,-41.0511,22.28,84,0,7.69,BR,1690507066
65,voitsberg,47.0333,15.15,15.33,73,100,1.82,AT,1690507067
66,nova sintra,14.8667,-24.7167,22.55,81,37,7.96,CV,1690507067
67,salor,41.3722,69.3817,26.4,39,0,1.03,UZ,1690507067
68,nemuro,43.3236,145.575,18.15,93,71,0.55,JP,1690507067
69,chibougamau,49.9168,-74.3659,18.79,55,100,0.8,CA,1690507067
70,port saint john's,-31.6229,29.5448,16.39,89,0,3.26,ZA,1690507067
71,anadyr,64.75,177.4833,13.28,87,75,4.0,RU,1690507067
72,bengkulu,-3.8004,102.2655,25.35,80,100,2.15,ID,1690507068
73,pokhara,28.2333,83.9833,23.31,91,89,0.4,NP,1690506819
74,djibo,14.1022,-1.6306,29.76,58,100,4.84,BF,1690507068
75,georgetown,5.4112,100.3354,27.96,89,20,0.0,MY,1690506830
76,nicoya,10.1483,-85.452,24.95,94,100,1.49,CR,1690507068
77,iqaluit,63.7506,-68.5145,8.85,76,20,0.0,CA,1690507068
78,sidareja,-7.4846,108.7923,24.0,73,95,1.87,ID,1690507068
79,usinsk,65.9939,57.5281,15.45,86,54,3.43,RU,1690507068
80,st. john's,47.5649,-52.7093,19.88,88,40,8.75,CA,1690507021
81,gummi,12.1436,5.1081,26.91,76,100,4.87,NG,1690507069
82,tura,25.5198,90.2201,24.53,95,100,2.59,IN,1690507069
83,mar del plata,-38.0023,-57.5575,8.3,85,75,3.58,AR,1690507069
84,cabedelo,-6.9811,-34.8339,24.37,86,3,5.49,BR,1690507069
85,bukama,-9.2,25.85,19.9,43,0,0.93,CD,1690507069
86,broken hill,-31.95,141.4333,18.86,54,19,8.95,AU,1690507070
87,enewetak,11.3474,162.3373,28.26,81,100,8.6,MH,1690507070
88,staritsa,56.5075,34.9354,16.05,97,100,2.81,RU,1690507070
89,ishigaki,24.3448,124.1572,29.07,89,75,9.77,JP,1690507070
90,qaqortoq,60.7167,-46.0333,6.45,75,100,1.51,GL,1690507070
91,awjilah,29.1081,21.2869,28.08,60,10,6.85,LY,1690507071
92,bredasdorp,-34.5322,20.0403,8.97,90,0,1.55,ZA,1690507071
93,guozhen,34.3659,107.359,21.72,96,100,0.63,CN,1690507071
94,remire-montjoly,4.9167,-52.2667,25.02,100,0,0.0,GF,1690507071
95,bereznik,62.8551,42.7072,13.3,97,100,1.09,RU,1690507071
96,fort mcmurray,56.7268,-111.381,16.77,67,100,3.09,CA,1690507071
97,romano d'ezzelino,45.7964,11.7563,19.39,82,0,2.06,IT,1690507071
98,dakhla,23.6848,-15.958,19.82,89,0,10.25,EH,1690507071
99,thinadhoo,0.5333,72.9333,27.77,79,25,5.04,MV,1690507072
100,mwinilunga,-11.7358,24.4293,12.76,51,1,1.74,ZM,1690507072
101,thompson,55.7435,-97.8558,15.09,63,75,3.09,CA,1690507072
102,chonchi,-42.6128,-73.8092,10.07,99,100,1.74,CL,1690507072
103,whitehorse,60.7161,-135.0538,25.57,44,75,5.14,CA,1690507072
104,puttalam,8.0362,79.8283,26.89,84,22,8.05,LK,1690507072
